VF_ID	log10(human/non_human)	Virulence_factor
CVF506	-0.18384	Heme biosynthesis (CVF506)
CVF281	-0.03087	Flagella (CVF281)
CVF189	0.42051	Type IV pili (CVF189)
CVF833	-0.22878	Capsule (CVF833)
CVF331	-0.49615	PhoP/R (CVF331)
CVF838	0.10280	Biotin metabolism (CVF838)
CVF311	-0.20184	Glutamine synthesis (CVF311)
CVF827	0.03929	EF-Tu (CVF827)
CVF656	-0.50310	Proteasome-associated proteins (CVF656)
CVF495	-0.05471	Exopolysaccharide (CVF495)
CVF786	-0.12384	Polar flagella (CVF786)
CVF123	0.10832	Streptococcal plasmin receptor/GAPDH (CVF123)
CVF300	-0.32383	FAS-II (CVF300)
CVF228	0.17624	Listeria adhesion protein (CVF228)
CVF645	-0.30822	Capsule I (CVF645)
CVF315	-0.51332	Mycobactin (CVF315)
CVF836	0.21365	Ferrous iron-transport system (CVF836)
CVF768	-0.27959	Acinetobactin (CVF768)
CVF417	-0.12168	Hemolysin (CVF417)
CVF383	-0.24715	LPS (CVF383)
CVF282	0.03663	Capsular polysaccharide (CVF282)
CVF039	0.33208	Flagella (cluster I) (CVF039)
CVF657	-0.18456	P(1)-type Mn2+ transporting ATPase (CVF657)
CVF429	0.49659	Invasion of brain endothelial cells (Ibes) (CVF429)
CVF839	-0.08509	Purine (CVF839)
CVF308	-0.27807	Tryptophan synthesis (CVF308)
CVF840	0.08320	Cysteine acquisition (CVF840)
CVF110	0.02474	Capsule (CVF110)
CVF456	-0.02833	Salmochelin siderophore (CVF456)
CVF620	-0.29794	NuoG (CVF620)
CVF459	-0.49886	Iron/manganese transport (CVF459)
CVF263	-0.23585	RTX toxin (CVF263)
CVF305	-0.19219	Pantothenate synthesis (CVF305)
CVF567	-0.17839	Polysaccharide capsule (CVF567)
CVF460	0.06195	Heme uptake (CVF460)
CVF043	-0.06999	O-antigen (CVF043)
CVF519	-0.28018	Type IV pili twitching motility related proteins (CVF519)
CVF302	0.12459	Isocitrate lyase (CVF302)
CVF857	-0.19526	LPS rfb locus (CVF857)
CVF736	0.16688	ACE T6SS (CVF736)
CVF426	1.05679	Type I fimbriae (CVF426)
CVF760	-0.15388	Catalase (CVF760)
CVF655	-0.59144	Zn++ metallophrotease (CVF655)
CVF347	-0.21251	Hsp60 (CVF347)
CVF804	-0.31107	Rvh T4SS (CVF804)
CVF795	-0.31422	The repeat in toxin (RTX) (CVF795)
CVF763	-0.30377	Recombinational repair protein (CVF763)
CVF332	-0.56235	PrrA/B (CVF332)
CVF812	-0.43252	Hemolysin C (CVF812)
CVF309	-0.56107	Leucine synthesis (CVF309)
CVF396	0.06140	LOS (CVF396)
CVF477	0.31419	Enterobactin synthesis (CVF477)
CVF654	-0.39210	FadE29 (CVF654)
CVF803	0.23705	T4SS effectors (CVF803)
VF0568	0.18104	AcrAB (VF0568)
CVF478	-0.19865	Enterobactin transport (CVF478)
CVF171	-0.33096	Beta-hemolysin/cytolysin (CVF171)
VF0272	-0.24740	FbpABC (VF0272)
CVF221	-0.33767	Urease (CVF221)
CVF306	-0.32073	Purine synthesis (CVF306)
CVF393	-0.06383	Capsule biosynthesis and transport (CVF393)
CVF397	0.35899	Flagella (CVF397)
VF0473	-0.13825	Polar flagella (VF0473)
CVF514	-0.52789	ABC-type heme transporter (CVF514)
CVF520	-0.02237	LPS O-antigen (P. aeruginosa) (CVF520)
CVF153	-0.21591	Streptococcal enolase (CVF153)
VF0268	-0.25114	HitABC (VF0268)
CVF851	-0.22029	Yersiniabactin (CVF851)
AI139	0.34801	peritrichous flagella (AI139)
CVF334	-0.97450	DevR/S (CVF334)
CVF240	0.15912	Oligopeptide-binding protein (CVF240)
IA001	-0.20274	pyoverdine (IA001)
CVF032	-0.22639	TTSS (SPI-2 encode) (CVF032)
VF0504	-0.02533	AdeFGH efflux pump (VF0504)
CVF363	-0.26303	LetA/LetS two component (CVF363)
CVF046	-0.18932	TTSS (chromosomally encoded) (CVF046)
CVF516	-0.45529	ABC transporter (CVF516)
CVF187	0.31503	LOS synthesis (CVF187)
CVF619	-0.12577	Type III secretion system (CVF619)
CVF223	0.45472	Flagella (CVF223)
CVF666	-0.57588	SenX3 (CVF666)
VF0225	-0.24897	<alpha>-Hemolysin (VF0225)
CVF862	0.21474	T6SS-III (CVF862)
AI140	0.37350	peritrichous flagella (AI140)
CVF850	0.17703	Salmochelin (CVF850)
AI142	-0.07590	lateral flagella (AI142)
CVF591	-0.22334	Capsule (CVF591)
CVF002	1.62825	Bcf (CVF002)
CVF553	-0.39651	Pyochelin (CVF553)
CVF642	-0.11010	T6SS-1 (CVF642)
CVF149	-0.16648	Trigger factor (CVF149)
CVF310	-0.33519	Lysine synthesis (CVF310)
CVF847	0.98587	Type I fimbriae (CVF847)
CVF774	0.13654	LPS (CVF774)
CVF307	-0.28293	Proline synthesis (CVF307)
VF0451	0.05465	MtrCDE (VF0451)
CVF380	-0.13022	LPS (CVF380)
VF0519	0.02210	Flagella (VF0519)
CVF762	-0.18290	Methionine sulphoxide reductase (CVF762)
CVF358	-0.07977	Cytochrome c maturation (ccm) locus (CVF358)
CVF588	-0.30035	PDH-B (CVF588)
VF0028	-0.29114	Cya (VF0028)
CVF547	-0.17298	Phytotoxin syringopeptin (CVF547)
CVF026	3.20619	Sth (CVF026)
VF0207	-0.22574	Hemolysin (VF0207)
CVF660	-0.50531	Nucleoside diphosphate kinase (CVF660)
CVF192	2.30759	Opacity protein (CVF192)
CVF003	1.06183	Fim (CVF003)
CVF384	-0.26982	CbetaG (CVF384)
AI117	-0.08753	type IV pili (AI117)
AI150	0.03018	Pse5Ac7Ac (AI150)
CVF761	0.04639	Manganese transport system (CVF761)
AI144	-0.09731	ND (AI144)
CVF674	0.01461	OatA (CVF674)
CVF359	0.05794	Ferrous iron transport (CVF359)
CVF365	0.04392	RelA (CVF365)
CVF479	-0.54091	Ferrous iron transport (CVF479)
CVF515	-0.57771	Ciu iron uptake and siderophore biosynthesis system (CVF515)
VF0082	-0.22851	Type IV pili (VF0082)
CVF322	0.04285	AhpC (CVF322)
CVF051	-0.03298	Yersiniabactin (CVF051)
CVF399	0.46056	O-linked flagellar glycosylation (CVF399)
CVF328	-1.04400	Sigma H (CVF328)
CVF027	1.16198	Sti (CVF027)
VF0430	0.18058	Flagella (VF0430)
CVF268	0.07242	EPS type II secretion system (CVF268)
VF0072	0.00305	ClpC (VF0072)
CVF382	0.14351	Flagella (CVF382)
CVF552	0.05368	Pyoverdine receptors (CVF552)
VF0560	-0.01216	Capsule (VF0560)
VF0558	-0.08877	Pyrimidine biosynthesis (VF0558)
IA004	-0.42842	pseudomonine (IA004)
CVF276	-0.10597	Periplasmic binding protein-dependent ABC transport systems (CVF276)
CVF206	-0.20176	Capsule (CVF206)
CVF386	-0.54307	Brucebactin (CVF386)
CVF377	-0.45039	Two-component system (CVF377)
CVF766	-0.00712	Phospholipase C (CVF766)
CVF852	1.10853	Aerobactin (CVF852)
IA005	-0.29819	yersiniabactin (IA005)
CVF638	0.76540	Type IV pili (CVF638)
CVF757	0.17929	Phosphoethanolamine modification (CVF757)
VF0460	0.04241	EF-Tu (VF0460)
CVF783	-0.18465	Tap type IV pili (CVF783)
VF0569	0.39433	T6SS (VF0569)
AI149	0.01606	polar flagella (AI149)
VF0091	-0.02562	Alginate (VF0091)
IA003	-0.21733	achromobactin (IA003)
CVF289	-0.69816	Sulfolipid-1 biosynthesis and transport (CVF289)
VF0334	-0.14681	HSI-I (VF0334)
IA011	-0.23283	achromobactin (IA011)
CVF457	0.81584	Aerobactin siderophore (CVF457)
CVF825	0.57922	Hemorrhagic E.coli pilus (HCP) (CVF825)
VF0228	0.07763	Enterobactin (VF0228)
CVF556	-0.31159	Yersiniabactin (CVF556)
VF0542	-0.08847	LPS (VF0542)
CVF324	-0.28880	Iron-cofactored  SOD (CVF324)
VF0562	0.07823	Ent (VF0562)
VF0273	-0.04444	Flagella (VF0273)
CVF010	0.24497	PhoPQ (CVF010)
AI145	0.25471	peritrichous flagella (AI145)
CVF352	2.38273	Type IVB secretion effectors (CVF352)
CVF202	-0.01995	Ton system (CVF202)
CVF848	1.94713	Type 3 fimbriae (CVF848)
VF0156	0.53988	Dot/Icm (VF0156)
VF0073	-0.00343	ClpE (VF0073)
IA030	-0.29325	Pyridine-2,6-dithiocarboxylic acid (PDTC) (IA030)
CVF636	-0.86854	ESX-4 (T7SS) (CVF636)
VF0465	-0.21521	Capsule (VF0465)
CVF780	0.29156	T2SS (CVF780)
CVF285	0.02370	Proximal cyclopropane synthase of alpha mycolates (CVF285)
CVF625	2.99258	E. coli common pilus (ECP) (CVF625)
CVF237	-0.06597	Sugar-uptake system (CVF237)
AI171	0.04949	Fibronectin-binding protein (AI171)
AI392	-0.09040	MOMP (AI392)
VF0394	0.36143	Flagella (VF0394)
CVF740	-0.14793	UpaG adhesin, trimeric AT (CVF740)
CVF204	0.60906	RTX toxin (CVF204)
IA035	-0.24938	yersiniabactin-related (IA035)
TX033	-0.08158	colibactin (TX033)
VF0171	-0.19850	LPS (VF0171)
VF0573	-0.11761	Colibactin (VF0573)
CVF022	2.95564	Std (CVF022)
CVF513	-0.41576	Siderophore-dependent iron uptake system (CVF513)
IA012	-0.24652	chrysobactin (IA012)
IA038	-0.13919	vibrioferrin (IA038)
CVF747	0.33264	Contact-dependent inhibition CDI system (CVF747)
CVF253	-0.14285	LisR/LisK (CVF253)
CVF826	0.96769	Type IV pili (CVF826)
CVF560	0.20860	Hemolysin III (CVF560)
CVF004	1.77826	Lpf (CVF004)
VF0392	-0.18760	O-antigen (VF0392)
CVF234	-0.20497	Cell wall hydrolase (CVF234)
VF0467	-0.30269	Acinetobactin (VF0467)
SS026	-0.13661	T3SS (SS026)
CVF566	0.07242	Polyglutamic acid capsule (CVF566)
CVF676	0.44069	D-alanine-polyphosphoribitol ligase (CVF676)
CVF277	0.12713	Enterobactin receptors (CVF277)
IA021	-0.04824	Salmochelin (IA021)
CVF550	1.34458	TccC-type insecticidal toxins (CVF550)
VF0159	-0.20764	Hsp60 (VF0159)
CVF624	0.06823	Type VII secretion system (CVF624)
IA016	-0.02242	Salmochelin (IA016)
AI151	0.14531	Pse5Ac7Ac, Pse5Ac7Am, Pse8OAc, Pse5Am7AcGlnAc (AI151)
IA013	-0.11530	Salmochelin (IA013)
VF0323	-0.17272	Capsule (VF0323)
SS179	-0.15059	HSI-2 (SS179)
IA036	-0.23704	ornibactin (IA036)
CVF312	-0.64051	Mycolactone (CVF312)
CVF020	2.08350	Stb (CVF020)
CVF548	-0.10829	Phytotoxin syringomycin (CVF548)
CVF536	-0.63081	Phenazines biosynthesis (CVF536)
CVF534	-0.29541	P. syringae TTSS effectors (CVF534)
AI148	0.35741	HexNAc (AI148)
CVF024	0.84548	Stf (CVF024)
AI394	-0.21593	polymorphic membrane protein (PmpD)/pmp21 (AI394)
SS189	0.06638	EVP (E. tarda virulent protein) (SS189)
CVF652	-1.13287	Cyp125 (CVF652)
CVF737	-0.29417	ABC transporter for dispersin (CVF737)
SS183	0.29796	SCI-I (SS183)
CVF252	0.11354	VirR/VirS (CVF252)
CVF258	0.26450	Type IV pilus (CVF258)
SS023	-0.37886	Cpi-2 encoded T3SS (SPI-2 like) (SS023)
CVF201	0.58285	Transferrin-binding protein (CVF201)
VF0436	-0.24768	Capsule I (VF0436)
CVF259	0.10738	Mannose-sensitive hemagglutinin (MSHA type IV pilus) (CVF259)
CVF744	2.83000	EhaB, AIDA-I type (CVF744)
SS194	-0.12712	T6SS (SS194)
CVF047	0.00346	TTSS (ysc-yop) secretion apparatus (CVF047)
VF0136	-0.17034	Yersiniabactin (VF0136)
VF0563	-0.00490	Sal (VF0563)
VF0227	-0.13767	Chu (VF0227)
IA059	-0.13827	direct heme uptake system (IA059)
CVF346	-0.46428	Type IV pili (CVF346)
CVF528	-0.31554	Acylhomoserine lactone synthase (CVF528)
CVF385	-0.09116	Type IV secretion system (CVF385)
CVF546	-0.03633	Phytotoxin phaseolotoxin (CVF546)
CVF148	0.24059	Serine protease (CVF148)
IA034	-0.28607	Proteobactin (IA034)
CVF779	0.26043	PbpG (CVF779)
CVF668	-2.25424	Heme uptake (CVF668)
VF0262	-0.27604	LetA/S (VF0262)
VF0564	-0.18931	Ybt (VF0564)
CVF200	0.12406	Lactoferrin-binding protein (CVF200)
Hsp60	-0.26584	GroEL(Hsp60) (AI317)
VF0432	-0.15995	CdpA (VF0432)
CVF035	2.80632	TTSS-2 translocated effectors (CVF035)
CVF086	1.12353	Beta hemolysin (CVF086)
IA009	-0.24211	thioquinolobactin (IA009)
SS047	0.64769	Dot/Icm (SS047)
CVF227	-0.24930	Fibronectin-binding protein (CVF227)
IA032	-0.38604	exochelin (IA032)
CVF400	0.24458	N-linked protein glycosylation (CVF400)
CVF008	1.01375	MisL (CVF008)
VF0003	0.05666	Capsule (VF0003)
VF0106	0.32837	MgtBC (VF0106)
CVF023	0.78097	Ste (CVF023)
CVF641	0.30554	Bsa T3SS (CVF641)
VF0450	0.00954	FarAB (VF0450)
CVF824	1.01577	E.coli laminin-binding fimbriae (ELF) (CVF824)
VF0543	-0.26269	Capsule (VF0543)
IA058	-0.10938	direct heme uptake system (IA058)
CVF351	0.10410	Dot/Icm type IVB secretion system (CVF351)
VF0463	-0.01360	BfmRS (VF0463)
SS186	0.30617	CTS1 (SS186)
CVF195	0.30528	PorB (CVF195)
IA014	-0.04224	Salmochelin (IA014)
CVF255	0.53659	CheA/CheY (CVF255)
CVF154	0.76293	Hyaluronidase (CVF154)
Hsp60	-0.31898	GroEL(Hsp60)/Cpn60.2 (AI353)
CVF486	-0.70967	Type IV pili (CVF486)
SS176	0.28719	SCI (Salmonella centrisome island) (SS176)
VF0094	-0.17933	Pyoverdine (VF0094)
VF0552	0.03493	Biotin synthesis (VF0552)
IA049	-0.28937	direct heme uptake system (IA049)
VF0361	-0.32154	Capsule (VF0361)
CVF618	-0.17678	Capsule (CVF618)
VF0335	0.12893	T6SS (VF0335)
VF0044	-0.10322	LOS (VF0044)
SS193	0.05925	T6SS (SS193)
AI103	-0.06941	Tap pili (AI103)
CVF784	-0.49608	Flp type IV pili (CVF784)
CVF181	1.27899	Pneumococcal surface antigen A / Metal binding protein SloC (CVF181)
VF0367	-0.19717	LPS (VF0367)
VF0256	-0.10331	Shu (VF0256)
CVF245	-0.26576	Serine-threonine phosphatase (CVF245)
CVF367	0.37110	FHA-like proteins (CVF367)
CVF278	0.16607	Heme receptors (CVF278)
IA044	-0.21279	HasA-type hemophore-mediated heme uptake system (IA044)
VF0033	-0.00242	LPS (VF0033)
CVF049	0.59072	Type IV pili (CVF049)
VF0478	0.31766	Exe T2SS (VF0478)
CVF835	0.42257	Francisella siderophore locus (CVF835)
VF0050	-0.36189	Urease (VF0050)
VF0168	0.09534	KatAB (VF0168)
CVF313	-0.06469	Magnesium transport (CVF313)
CVF411	1.64821	Kappa-toxin (collagenase) (CVF411)
AI096	0.13842	GC pili (AI096)
CVF238	0.52499	Lipoate protein ligase A1 (CVF238)
CVF354	-0.14561	Lsp type II secretion system (CVF354)
VF0075	0.40861	Type IV pili (VF0075)
VF0298	-0.30782	MprAB (VF0298)
CVF113	0.20301	Fibronectin-binding proteins (CVF113)
AI097	-0.14083	type IV pili (AI097)
VF0444	0.10473	Lap (VF0444)
CVF194	0.89609	PorA (CVF194)
CVF203	-0.35180	Ferric enterobactin transport protein A / ferric-repressed protein B (CVF203)
CVF555	-0.28376	Achromobactin biosynthesis and transport (CVF555)
CVF778	-0.02911	Two-component system (CVF778)
CVF198	-0.06891	Hemoglobin receptor (CVF198)
AI118	-0.35934	type IV pili (AI118)
CVF248	-0.14165	Lipoprotein diacylglyceryl transferase (CVF248)
CVF771	1.50315	Biofilm-associated protein (CVF771)
CVF769	0.05886	Heme utilization  (CVF769)
CVF286	0.14173	Mycolic acid trans-cyclopropane synthetase (CVF286)
VF0559	-0.10871	Purine biosynthesis (VF0559)
IA042	-0.54270	HasA-type hemophore-mediated heme uptake system (IA042)
CVF270	-0.03963	VAS effector proteins (CVF270)
IA041	-0.50782	HasA-type hemophore-mediated heme uptake system (IA041)
SS024	-0.19548	chromosome-encoded TTSS (SS024)
CVF196	0.35713	IgA protease (CVF196)
VF0095	-0.32706	Pyochelin (VF0095)
SS180	0.10942	HSI-3 (SS180)
IA062	-0.27107	direct heme uptake system (IA062)
CVF679	0.37921	EaeH (CVF679)
CVF772	0.91264	PNAG (Polysaccharide poly-N-acetylglucosamine) (CVF772)
IA051	-0.46660	HtaA-type surface protein, direct heme uptake system (IA051)
IA006	-0.32473	yersiniabactin (IA006)
CVF019	1.71026	Sta (CVF019)
CVF250	0.19433	Bile-salt hydrolase (CVF250)
CVF387	-0.43368	BvrRS (CVF387)
CVF767	-0.15892	Phospholipase D (CVF767)
IA056	-0.13332	direct heme uptake system (IA056)
CVF864	0.42334	Invasin C (CVF864)
AI215	-0.21851	Fibronectin-binding protein (AI215)
SS003	-0.03590	T3SS (SS003)
SS177	0.33252	T6SS (SS177)
CVF793	0.26457	Hemolysin III (CVF793)
CVF770	0.92333	Csu pili (CVF770)
CVF844	0.62242	Arginine transporter (CVF844)
AI098	-0.21698	type IV pili (AI098)
CVF492	-0.20083	P5 protein (CVF492)
VF0550	0.20876	FupA (VF0550)
CVF190	0.99489	Adhesion and penetration protein (CVF190)
CVF326	-0.49754	Sigma F (CVF326)
CVF404	-0.05017	Fibronectin-binding protein (CVF404)
SS207	0.52449	etp (SS207)
SS214	0.11842	eps (SS214)
CVF797	-0.36168	Rvh T4SS (CVF797)
VF0356	-0.06344	Cytolysin (VF0356)
IA060	-0.22320	direct heme uptake system (IA060)
VF0260	-0.01822	RelA (VF0260)
VF0056	-0.15990	LPS (VF0056)
SS209	0.20407	exe (SS209)
VF0114	0.57493	Flagella (VF0114)
AI153	0.22037	peritrichous flagella (AI153)
SS212	0.35175	out (SS212)
CVF743	0.75790	EhaA, AIDA-I type (CVF743)
CVF129	-0.28732	Streptococcal lipoprotein rotamase A (CVF129)
SS187	0.41682	CTS2 (SS187)
VF0234	0.05745	Chu (VF0234)
AI095	0.27348	MC pili (AI095)
CVF615	-0.08669	BopD (CVF615)
CVF461	0.08380	Iron-regulated element (CVF461)
IA023	-0.16899	vulnibactin (IA023)
IA025	-0.24532	Vanchrobactin (IA025)
CVF298	-0.61056	ESX-1 (T7SS) (CVF298)
CVF792	0.11629	Hemolysin, HlyA (CVF792)
VF0480	-0.19260	T6SS (VF0480)
SS215	0.55079	pul (SS215)
IA046	-0.33443	direct heme uptake system (IA046)
VF0144	-0.08310	Capsule (VF0144)
CVF364	-0.21641	Alternative sigma factor RpoS (CVF364)
CVF875	-0.18668	AdsA (CVF875)
CVF647	-1.04394	Potassium/proton antiporter (CVF647)
VF0302	0.55923	Nitrate reductase (VF0302)
CVF635	-1.55513	ESX-3 (T7SS) (CVF635)
CVF675	-0.09067	PdgA (CVF675)
VF0326	0.06621	LOS (VF0326)
VF0160	0.05538	FeoAB (VF0160)
CVF029	1.39381	Stk (CVF029)
CVF465	0.19968	Mxi-Spa TTSS effectors controlled by MxiE (CVF465)
AI113	0.01793	type IV pili (AI113)
CVF013	0.61118	Saf (CVF013)
CVF603	-0.44723	VirB/VirD4 type IV secretion system & translocated effector Beps (CVF603)
CVF102	0.69347	Ser-Asp rich fibrinogen-binding proteins (CVF102)
IA031	-0.45670	mycobactin (IA031)
CVF868	0.74850	YapJ (CVF868)
CVF295	-1.04214	Protein kinase G (CVF295)
VF0408	0.12229	T3SS1 (VF0408)
CVF034	1.31411	TTSS-1 translocated effectors (CVF034)
VF0336	-0.37818	BvgAS (VF0336)
SS181	-0.01185	VAS (SS181)
SS125	0.35537	CdiA-CdiB (SS125)
AI368	0.08991	GAPDH (AI368)
VF0274	-0.42989	Capsule (VF0274)
VF0140	0.17972	TTSS (VF0140)
AI384	0.85604	Hek (AI384)
CVF327	-1.39916	Sigma E (CVF327)
VF0454	-0.15411	KatA (VF0454)
VF0257	-0.45511	SigA (VF0257)
CVF541	-0.21830	Non-hemolytic phospholipase C (CVF541)
CVF106	0.72527	Intercellular adhesin (CVF106)
CVF233	0.46997	Lipoprotein promoting entry protein (CVF233)
CVF353	-0.26533	Lvh (Legionella vir homologs) type IVA secretion system (CVF353)
CVF425	1.23610	P fimbriae (CVF425)
SS208	0.44417	yts1 (SS208)
CVF659	0.09144	Pore-forming protein (CVF659)
SS123	0.10249	HecA-HecB (SS123)
CVF869	0.78970	YapK (CVF869)
CVF802	0.19410	T4SS (Type IVb) (CVF802)
CVF016	0.02599	SinH (CVF016)
IA027	0.04350	staphyloferrin B (IA027)
AI081	-0.42168	cable pilus (AI081)
CVF648	-1.03439	Carboxylesterase (CVF648)
SS016	-0.08087	Cpi-1a + Cpi-1 (SPI-1 like) (SS016)
SS012	0.05465	TTS1 (SS012)
VF0429	-0.05178	T6SS-1 (VF0429)
CVF274	-0.06982	Vibriobactin biosynthesis (CVF274)
SS025	-0.50654	T3SS (SS025)
CVF664	-0.96797	Sigma L (CVF664)
VF0475	-0.46158	Tap type IV pili (VF0475)
VF0566	0.84735	Type I fimbriae (VF0566)
AI146	0.43980	lateral flagella (AI146)
VF0287	-0.23360	RelA (VF0287)
SS191	-0.05173	TSS-1 (SS191)
VF0553	0.13363	GGT (VF0553)
AI138	0.01038	Deoxyhexose linking sugar, 209 Da capping structure (AI138)
VF0074	-0.12274	ClpP (VF0074)
AI147	0.14662	<beta>-GlcNAc (AI147)
AI111	0.00397	type IV pili (AI111)
VF0368	-0.26443	BvrR-BvrS (VF0368)
IA043	-0.50563	HasA-type hemophore-mediated heme uptake system (IA043)
CVF348	0.53770	Enhanced entry proteins (CVF348)
VF0456	-0.17177	MsrAB (VF0456)
IA050	-0.15278	NEAT-type surface protein, direct heme uptake system (IA050)
VF0111	0.26700	PhoPQ (VF0111)
CVF484	0.06911	MsbB2 (CVF484)
CVF431	0.39419	LEE locus encoded TTSS (CVF431)
CVF762	-0.16705	includes: thioredoxin, peptide methionine sulfoxide reductase MsrA (protein-methionine-S-oxide reductase; peptide Met(O) reductase) and peptide methio [Methionine sulphoxide reductase (CVF762)
VF0572	-0.26029	Allantion utilization (VF0572)
IA033	-0.09102	desferrioxamine (IA033)
CVF287	-0.16989	Methyltransferase (CVF287)
CVF628	0.13106	Autoinducer-2 (CVF628)
CVF832	0.72690	Acid phosphotase (CVF832)
CVF843	0.97030	Glutamate transporter GadC (CVF843)
VF0561	-0.34549	LPS (VF0561)
VF0127	0.09881	ACF (VF0127)
VF0579	0.25505	T6SS (VF0579)
SS051	0.39362	Dot/Icm (SS051)
AI058	1.32284	bovine colonization factor (Bcf) (AI058)
SS021	-0.00136	SPI-2 encoded T3SS (SS021)
CVF242	0.42098	Metalloproteinase (CVF242)
SS009	0.11255	T3SS (SS009)
CVF842	0.79588	Asparagine transporter AnsP (CVF842)
VF0221	0.76044	Type 1 fimbriae (VF0221)
CVF745	0.50091	Cah, AIDA-I type (CVF745)
CVF257	0.08588	Accessory colonization factor (CVF257)
IA039	-0.41750	NEAT-type hemophore-mediated heme uptake system (IA039)
SS217	-0.03771	gsp (SS217)
CVF037	1.07981	Ail (CVF037)
AI240	0.00214	Fibronectin-binding protein (AI240)
IA028	-0.14653	petrobactin (IA028)
SS206	0.15167	gsp (SS206)
CVF028	1.40479	Stj (CVF028)
CVF188	2.43684	LOS sialylation (CVF188)
VF0303	-0.00098	KatG (VF0303)
CVF349	-0.03934	Mip (CVF349)
CVF254	0.58955	AgrA/AgrC (CVF254)
CVF856	0.83231	RcsAB (CVF856)
CVF874	0.15181	Exolysin (CVF874)
SS126	0.25033	HrpA-HrpB (SS126)
VF0513	0.04411	IlpA (VF0513)
CVF475	1.09078	Aerobactin transport (CVF475)
VF0157	0.25498	Flagella (VF0157)
AI143	0.05950	ND (AI143)
CVF841	0.67647	Isoleucine transporter (CVF841)
CVF601	-0.46875	Omp89 (CVF601)
CVF114	1.23267	Laminin-binding protein (CVF114)
SS027	-0.30580	T3SS2 (SS027)
VF0085	-0.30777	LPS (VF0085)
SS184	0.14130	AEC (SS184)
VF0084	-0.06392	xcp secretion system (VF0084)
VF0344	-0.08044	TTSS (VF0344)
SS185	0.20344	EHS (SS185)
CVF604	0.09269	Trw type IV secretion system (CVF604)
CVF561	0.07220	Hemolysin III homolog (CVF561)
SS053	-0.28191	T4SS (SS053)
CVF549	-0.67020	Hydrogen cyanide production (CVF549)
CVF293	-0.96443	ESX-5 (T7SS) (CVF293)
SS007	-0.24781	T3SS (SS007)
SS210	-0.13505	gsp (SS210)
IA024	-0.27481	anguibactin (IA024)
AI104	-0.38552	fimbrial low-molecular-weight protein (Flp) pili (AI104)
IA010	0.01462	alcaligin (IA010)
SS008	-0.12895	T3SS (SS008)
SS013	-0.04780	TTS2 (SS013)
VF0474	0.14463	Lateral flagella (VF0474)
CVF031	0.80711	TTSS (SPI-1 encode) (CVF031)
AI105	-0.35120	Flp pili (AI105)
CVF846	0.42716	T6SS (FPI) (CVF846)
CVF545	-0.26740	Phytotoxin coronatine (CVF545)
CVF530	-0.31838	P. aeruginosa TTSS (CVF530)
AI002	1.54916	type 1 fimbriae (AI002)
SS188	0.49855	cluster 1 (SS188)
CVF451	0.85483	Antigen 43, AIDA-I type (CVF451)
CVF048	1.24358	TTSS effectors (CVF048)
SS004	-0.32673	T3SS (SS004)
CVF229	1.61897	Internalin J (LPXTG protein) (CVF229)
